LOGGING STARTED AT: 03-07-2022 15:06:04

03-07-2022 15:06:20 :    It took 27ms to generate this chunk mesh
03-07-2022 15:06:20 :    It took 19ms to generate this chunk mesh
03-07-2022 15:06:20 :    It took 24ms to generate this chunk mesh
03-07-2022 15:06:20 :    It took 29ms to generate this chunk mesh
03-07-2022 15:06:20 :    It took 18ms to generate this chunk mesh
03-07-2022 15:06:20 :    It took 14ms to generate this chunk mesh
03-07-2022 15:06:20 :    It took 15ms to generate this chunk mesh
03-07-2022 15:06:20 :    It took 37ms to generate this chunk mesh
03-07-2022 15:06:20 :    It took 50ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 64ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 47ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 53ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 40ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 32ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 28ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 20ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 22ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 26ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 25ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 24ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 24ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 18ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 19ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 29ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 28ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 34ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 27ms to generate this chunk mesh
03-07-2022 15:06:21 :    It took 35ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 26ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 36ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 43ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 61ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 44ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 74ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 42ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 27ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 32ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 32ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 48ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 21ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 22ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 23ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 16ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 13ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 16ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 16ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 20ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 21ms to generate this chunk mesh
03-07-2022 15:06:22 :    It took 24ms to generate this chunk mesh
03-07-2022 15:06:23 :    It took 24ms to generate this chunk mesh
03-07-2022 15:06:23 :    It took 30ms to generate this chunk mesh
03-07-2022 15:06:23 :    It took 30ms to generate this chunk mesh
03-07-2022 15:06:23 :    It took 25ms to generate this chunk mesh
03-07-2022 15:06:23 :    It took 32ms to generate this chunk mesh
03-07-2022 15:06:23 :    It took 36ms to generate this chunk mesh
03-07-2022 15:06:23 :    It took 29ms to generate this chunk mesh
03-07-2022 15:06:23 :    It took 37ms to generate this chunk mesh
03-07-2022 15:06:23 :    It took 31ms to generate this chunk mesh
03-07-2022 15:06:23 :    Exited game loop, closing display and exiting game...
03-07-2022 15:06:23 :    Detached vertex shader from shader program...
03-07-2022 15:06:23 :    Detached fragment shader from shader program...
03-07-2022 15:06:23 :    Deleted vertex shader...
03-07-2022 15:06:23 :    Deleted fragment shader...
03-07-2022 15:06:23 :    Deleted shader program
03-07-2022 15:06:23 :    Detached vertex shader from shader program...
03-07-2022 15:06:23 :    Detached fragment shader from shader program...
03-07-2022 15:06:23 :    Deleted vertex shader...
03-07-2022 15:06:23 :    Deleted fragment shader...
03-07-2022 15:06:23 :    Deleted shader program
03-07-2022 15:06:23 :    Average FPS this game session: 260
03-07-2022 15:06:23 :    Average delta time (time taken to render) this game session: 0.0073238197
03-07-2022 15:06:23 :    LOGGING FINISHED
03-07-2022 15:06:23 :    It took 36ms to generate this chunk mesh
03-07-2022 15:06:23 :    It took 36ms to generate this chunk mesh
